"extensionAttribute9","Name","OperatingSystemVersion","OperatingSystem","lastlogondate","whencreated","enabled","distinguishedName"
,"CM6DB24","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:15:34","4/7/2024 10:52:15","True","CN=CM6DB24,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"1V01DY3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 10:19:47","12/10/2023 15:28:47","True","CN=1V01DY3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"DF8DTQ3","10.0 (22631)","Windows 11 Enterprise","11/1/2026 21:41:00","12/6/2023 10:09:47","True","CN=DF8DTQ3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"HC5J3F3","10.0 (22631)","Windows 11 Enterprise","27/11/2025 8:46:46","30/12/2021 10:33:06","True","CN=HC5J3F3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"8YSZKN3","10.0 (22631)","Windows 11 Enterprise","9/1/2026 8:34:11","5/7/2022 15:52:25","True","CN=8YSZKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"3HV7BY3","10.0 (22631)","Windows 11 Enterprise","14/1/2026 15:16:16","11/9/2023 12:13:11","True","CN=3HV7BY3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"JMBYKN3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:31:57","24/11/2022 13:28:53","True","CN=JMBYKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"BKXRXF4","10.0 (26100)","Windows 11 Enterprise","12/1/2026 8:12:43","27/11/2025 15:12:52","True","CN=BKXRXF4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"1J6R8F4","10.0 (26100)","Windows 11 Enterprise","12/1/2026 13:02:14","3/11/2025 15:53:46","True","CN=1J6R8F4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"BYTZKN3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 8:42:04","19/10/2022 9:11:04","True","CN=BYTZKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"G3DLKN3","10.0 (22631)","Windows 11 Enterprise","15/1/2026 9:18:09","27/10/2022 10:20:22","True","CN=G3DLKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"9Q70R14","10.0 (22631)","Windows 11 Enterprise","12/1/2026 9:40:24","22/2/2024 10:04:20","True","CN=9Q70R14,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"6GTYKN3","10.0 (22631)","Windows 11 Enterprise","12/12/2025 8:44:52","7/1/2025 9:36:17","True","CN=6GTYKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"10HNKR3","10.0 (26100)","Windows 11 Enterprise","7/1/2026 16:39:38","16/5/2025 15:17:20","True","CN=10HNKR3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"BYGNKR3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 9:05:58","22/2/2023 9:23:27","True","CN=BYGNKR3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"75L9C54","10.0 (26100)","Windows 11 Enterprise","10/1/2026 14:46:49","28/4/2025 13:04:27","True","CN=75L9C54,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"JWC0DY3","10.0 (22631)","Windows 11 Enterprise","10/1/2026 15:03:54","5/10/2023 16:57:52","True","CN=JWC0DY3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"FKWS0T3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 10:54:42","7/1/2025 9:36:18","True","CN=FKWS0T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"BGJJ7D3","10.0 (22631)","Windows 11 Enterprise","13/11/2025 9:31:46","13/9/2021 15:20:16","True","CN=BGJJ7D3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"J4QD1T3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:16:33","25/10/2022 17:59:43","True","CN=J4QD1T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"216F9Y3","10.0 (22631)","Windows 11 Enterprise","11/1/2026 13:18:59","17/8/2023 10:17:01","True","CN=216F9Y3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"49Z63T3","10.0 (22631)","Windows 11 Enterprise","6/1/2026 8:54:23","28/11/2022 10:14:36","True","CN=49Z63T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"GRSQ2T3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 9:10:15","3/2/2023 15:38:42","True","CN=GRSQ2T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"G9JYKN3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:27:53","17/6/2022 14:50:35","True","CN=G9JYKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"6MHTBC4","10.0 (26200)","Windows 11 Enterprise","8/1/2026 8:43:27","6/10/2025 9:01:26","True","CN=6MHTBC4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"D9KKKN3","10.0 (22631)","Windows 11 Enterprise","14/1/2026 9:55:57","19/10/2022 9:15:12","True","CN=D9KKKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"7X5JKN3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:09:46","26/10/2022 15:58:43","True","CN=7X5JKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"9LHTBC4","10.0 (26200)","Windows 11 Enterprise","8/1/2026 8:46:19","9/10/2025 15:59:18","True","CN=9LHTBC4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"56BKKN3","10.0 (22631)","Windows 11 Enterprise","15/1/2026 9:48:46","19/7/2022 15:42:52","True","CN=56BKKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"GCLYV64","10.0 (26100)","Windows 11 Enterprise","8/1/2026 8:31:03","6/5/2025 10:47:23","True","CN=GCLYV64,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"38V69Y3","10.0 (22631)","Windows 11 Enterprise","7/11/2025 19:21:51","17/8/2023 10:23:32","False","CN=38V69Y3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"67KKKN3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 10:34:49","18/10/2022 16:37:58","True","CN=67KKKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"F0SLKN3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 11:56:13","19/10/2022 9:19:46","True","CN=F0SLKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"8CBJSV3","10.0 (22631)","Windows 11 Enterprise","9/1/2026 10:31:49","22/1/2025 15:31:29","True","CN=8CBJSV3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
