"extensionAttribute9","sAMAccountName","mail","cn","managedBy","description","displayName","groupType","whenCreated"
"HKKWN200","CN - China - All CS Staff","CN-China-AllCSStaff@WSPGroup.com","CN - China - All CS Staff",,,"CN - China - All CS Staff","8","21/10/2016 18:56:43"
"HKKWN200","HK - Project - J2238 - EM - Sanya","HK-Project-J2238-EM-Sanya@WSPGroup.com","HK - Project - J2238 - EM - Sanya",,,"HK - Project - J2238 - EM - Sanya","8","21/10/2016 19:04:49"
"HKKWN200","HKG-2513208A","HKG-2513208A@wsp.com","HKG-2513208A","CN=SVC-GLB-SNItHub-PROD,OU=SVC Users,OU=_Resource Mgmt,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"HKG-2513208A","8","24/1/2024 14:59:38"
"HKKWN200","PB-BOCFoTan-DCph2","PB-BOCFoTan-DCph2@pbworld.com","PB-BOCFoTan-DCph2","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"PB-BOCFoTan-DCph2","8","31/10/2014 12:12:52"
"HKKWN200","WSP-PB-Tuen-Mun-497","WSP-PB-Tuen-Mun-497@pbworld.com","WSP-PB-Tuen-Mun-497",,"WSP-PB-Tuen-Mun-497","WSP-PB-Tuen-Mun-497","8","4/2/2016 15:54:15"
"HKKWN200","HK - Project - J2565 - CS","HK-Project-J2565-CS@WSPGroup.com","HK - Project - J2565 - CS",,,"HK - Project - J2565 - CS","8","21/10/2016 19:06:32"
"HKKWN200","PBA-HKC","PBA-HKC@pbworld.com","PBA-HKC","CN=Tsui\, Kwok-Fai (tsui.kf),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"PBA-HKC","8","11/3/2013 12:17:12"
"HKKWN200","PAG-Project-Stonegate-TDD","PAG-Project-Stonegate-TDD@wsp.com","PAG-Project-Stonegate-TDD","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","Would you please internal and External senders able to receive and send mail.
Ownership Control is Rebecca.Chang@wsp.com for add and delete member. Thanks!","PAG-Project-Stonegate-TDD","8","1/12/2023 14:30:36"
"HKKWN200","PB-HKCitiplan-OBE","PB-HKCitiplan-OBE@pbworld.com","PB-HKCitiplan-OBE","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"PB-HKCitiplan-OBE","8","29/10/2014 15:33:30"
"HKKWN200","ASIA-BJN-2900416A","ASIA-BJN-2900416A@pbworld.com","ASIA-BJN-2900416A",,"ASIA-BJN-2900416A","ASIA-BJN-2900416A","8","23/12/2015 10:25:18"
